seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_tau2,seg0_tau3,seg0_tau4,seg0_tau5,seg0_tau6,seg0_tau7,seg0_likelihood
0.189502289825349036E-01,0.500680025592425068E+03,0.603253096689654100E+00,0.125957819999999998E+03,0.557234140199999965E+05,0.513221907304435510E+00,0.273289392928284303E+00,0.549676566899832542E+05,0.552196330532163629E+05,0.554721915534628642E+05,0.555975643024649034E+05,0.558503648486825623E+05,0.559751591085673717E+05,0.562272421308203120E+05,0.563532624273059992E+05,0.507727116262256277E+04
0.532549586375835382E+00,0.452188659578231622E+01,0.151335962021137016E+01,0.125957819999999998E+03,0.557234140199999965E+05,0.698464969856558704E+00,0.732062283928548885E+00,0.549677387301861963E+05,0.552195944884780620E+05,0.554715570079657191E+05,0.555975870672542005E+05,0.558486362014060578E+05,0.559754367081887249E+05,0.562273390646885673E+05,0.563530593823436793E+05,0.507728451300239885E+04
0.219919534117164500E+00,0.104923097083233086E+01,0.119987339457674680E+01,0.125957819999999998E+03,0.557234140199999965E+05,0.686819475442119076E+00,0.850397994941224783E-01,0.549676198725681679E+05,0.552196511155454573E+05,0.554719664502925516E+05,0.555975927875181806E+05,0.558494862194923553E+05,0.559753906623393850E+05,0.562271510190565023E+05,0.563530043630170621E+05,0.507729362174512789E+04
0.150632547006820054E-01,0.596808695406014181E+03,0.380734509261196202E-01,0.125957819999999998E+03,0.557234140199999965E+05,0.803856987246758914E+00,0.916026005933724075E+00,0.549676790530616709E+05,0.552196482385140262E+05,0.554720260962276589E+05,0.555976938594494204E+05,0.558499185389780905E+05,0.559753435923079014E+05,0.562272996129534949E+05,0.563524228118442916E+05,0.507729601664032907E+04
0.994084428453372970E+00,0.229025350894902013E+01,0.197687343339953081E+01,0.125957819999999998E+03,0.557234140199999965E+05,0.765607417577489735E+00,0.700167618521555291E+00,0.549676730550644133E+05,0.552195628403271621E+05,0.554719256767153929E+05,0.555975759701502029E+05,0.558501636615443858E+05,0.559754675193975636E+05,0.562271243120221698E+05,0.563530953653611432E+05,0.507743387645578423E+04
0.342287130737557066E+00,0.594144490166945793E+01,0.130527566877138912E+01,0.125957819999999998E+03,0.557234140199999965E+05,0.939452634693223931E+00,0.907573615189408711E+00,0.549677182451731132E+05,0.552196919980634702E+05,0.554713636028571127E+05,0.555974828349014861E+05,0.558499302302925353E+05,0.559754884532109427E+05,0.562273232624369411E+05,0.563529600022339000E+05,0.507744539936419642E+04
0.498983732957024473E+00,0.395219222106172952E+01,0.148114142450892761E+01,0.125957819999999998E+03,0.557234140199999965E+05,0.464986083258701777E+00,0.710132701552393053E+00,0.549676302193436932E+05,0.552195903103029705E+05,0.554719425720827203E+05,0.555975635465697706E+05,0.558502141882369760E+05,0.559753805977929587E+05,0.562280711217598873E+05,0.563531115297601500E+05,0.507747656322444891E+04
0.188572732491904399E-01,0.595389307124362176E+03,0.720792612664105437E+00,0.125957819999999998E+03,0.557234140199999965E+05,0.560191117984167208E+00,0.566422991804573006E+00,0.549675890333646967E+05,0.552195385187450447E+05,0.554720919986497465E+05,0.555976549009068476E+05,0.558488394335858029E+05,0.559753807109452682E+05,0.562272364501105549E+05,0.563532102815842663E+05,0.507748177894456785E+04
0.341975980752991071E+00,0.373821063959021371E+01,0.132483963712603137E+01,0.125957819999999998E+03,0.557234140199999965E+05,0.516245674918227260E+00,0.304587699398497502E+00,0.549676555010217271E+05,0.552194966091748138E+05,0.554716030702382268E+05,0.555975011308846151E+05,0.558494441382719451E+05,0.559753282478995097E+05,0.562272443538062871E+05,0.563530435978054738E+05,0.507748218791287218E+04
0.177506682421308196E-01,0.662395973959290814E+03,0.650400728382980797E+00,0.125957819999999998E+03,0.557234140199999965E+05,0.535865658856470084E+00,0.645471968710157995E+00,0.549676296279255548E+05,0.552195518620104849E+05,0.554713634534649173E+05,0.555977246437088907E+05,0.558493734759778235E+05,0.559755465410496181E+05,0.562272151920224060E+05,0.563537399186802504E+05,0.507748339168177426E+04
0.140718648665138224E+00,0.210244596138265072E+01,0.110968988849394457E+01,0.125957819999999998E+03,0.557234140199999965E+05,0.933375584132307035E+00,0.368867740896391239E+00,0.549677822841579618E+05,0.552196619211292564E+05,0.554714574185466117E+05,0.555975771286165909E+05,0.558503210527971896E+05,0.559751001612102555E+05,0.562273046385816197E+05,0.563531538732478366E+05,0.507749297836415008E+04
0.147435771708528535E-01,0.503990575561475168E+03,0.314511362278339091E+00,0.125957819999999998E+03,0.557234140199999965E+05,0.652677689107866721E-01,0.138717472840693190E+00,0.549678428364949432E+05,0.552197230996617363E+05,0.554721939138432499E+05,0.555976517107257241E+05,0.558501800670455777E+05,0.559753976269339837E+05,0.562272794913820617E+05,0.563531887894526517E+05,0.507753591876023165E+04
0.183463460265128400E-01,0.543622032412820886E+03,0.743448177921876896E+00,0.125957819999999998E+03,0.557234140199999965E+05,0.787230006301847390E-01,0.870125656693235716E+00,0.549676653691131360E+05,0.552194838224136474E+05,0.554714588809063571E+05,0.555975877286383256E+05,0.558495737798785703E+05,0.559754829761191286E+05,0.562272641692249017E+05,0.563532391897411871E+05,0.507755289734528105E+04
0.814096363459896555E+00,0.746922938114059942E+01,0.180212652912063565E+01,0.125957819999999998E+03,0.557234140199999965E+05,0.231436712207707312E+00,0.528167572996322998E+00,0.549676541477289284E+05,0.552195810990114333E+05,0.554715527919779997E+05,0.555974922962601486E+05,0.558500527888004945E+05,0.559755131588162549E+05,0.562271772578013697E+05,0.563531001691199635E+05,0.507756330254485692E+04
0.245321059046348211E+00,0.123673543638062604E+02,0.121736045651561042E+01,0.125957819999999998E+03,0.557234140199999965E+05,0.754358295079504360E+00,0.298975320507043785E+00,0.549676904804447768E+05,0.552195022726264651E+05,0.554720365071831257E+05,0.555975780408155260E+05,0.558494287953537350E+05,0.559751154770089270E+05,0.562272907205964293E+05,0.563530864638230123E+05,0.507757149238601687E+04
0.741299790905058487E+00,0.381882716361957364E+01,0.172912849299706362E+01,0.125957819999999998E+03,0.557234140199999965E+05,0.195206494103884853E+00,0.394199697629850840E-01,0.549677115457932814E+05,0.552196019196534107E+05,0.554722447347842681E+05,0.555975952577205608E+05,0.558497272664723132E+05,0.559751487214044464E+05,0.562272706812007673E+05,0.563530355477002522E+05,0.507759161389679957E+04
0.193645018416226250E+00,0.108796319991256230E+02,0.114976489028809636E+01,0.125957819999999998E+03,0.557234140199999965E+05,0.870367136018383558E+00,0.970440653342101944E+00,0.549676807563123366E+05,0.552196773111222865E+05,0.554718429676076194E+05,0.555976335295647878E+05,0.558495178047666632E+05,0.559751881551116603E+05,0.562272119525379094E+05,0.563529996336765034E+05,0.507759433426068699E+04
0.304306345328931804E+00,0.130893255724147162E+01,0.129186762268519728E+01,0.125957819999999998E+03,0.557234140199999965E+05,0.109370425691491580E+00,0.145438999704096489E+00,0.549676199531058883E+05,0.552195545328841035E+05,0.554722907128765364E+05,0.555976590674633335E+05,0.558500324809765443E+05,0.559754225065355349E+05,0.562273000469898398E+05,0.563531293808567862E+05,0.507770104985762373E+04
0.175751378241258902E-01,0.293898870537843436E+03,0.806021592160822586E+00,0.125957819999999998E+03,0.557234140199999965E+05,0.336226628524537552E+00,0.713022180546886264E+00,0.549677838821558689E+05,0.552196449094683630E+05,0.554720538709690300E+05,0.555975404616467204E+05,0.558503261790294055E+05,0.559753540943241387E+05,0.562272880202122906E+05,0.563530109031505635E+05,0.507773363943712320E+04
0.236806068551994736E+00,0.863034774914229708E+01,0.121751535826881718E+01,0.125957819999999998E+03,0.557234140199999965E+05,0.400711995420756639E+00,0.193521437100046767E+00,0.549675794392131502E+05,0.552196698922474025E+05,0.554717739247861682E+05,0.555975594432470098E+05,0.558501169716150252E+05,0.559754677376559412E+05,0.562272463575016445E+05,0.563529984992701939E+05,0.507776310392120740E+04
0.726246274376714074E+00,0.405133267902330374E+01,0.170320103214915597E+01,0.125957819999999998E+03,0.557234140199999965E+05,0.823959916663735137E+00,0.345676555198892954E+00,0.549676682640138533E+05,0.552196457851245577E+05,0.554718835831554097E+05,0.555976272455445505E+05,0.558495415664699540E+05,0.559755416220448024E+05,0.562272182929919800E+05,0.563529126093707382E+05,0.507778361354774643E+04
0.149944252221866886E+00,0.183091107845476309E+01,0.111439103285423857E+01,0.125957819999999998E+03,0.557234140199999965E+05,0.947462142387209050E+00,0.667035155122517320E+00,0.549677596673490189E+05,0.552196260059523338E+05,0.554720003200335195E+05,0.555974699852611884E+05,0.558497354826199371E+05,0.559755414245208085E+05,0.562272133264605654E+05,0.563530213542190832E+05,0.507780074309318115E+04
0.670438307036922754E+00,0.487223682436850414E+01,0.164909839640299105E+01,0.125957819999999998E+03,0.557234140199999965E+05,0.789376322024138877E+00,0.676535982032935412E+00,0.549677320366712811E+05,0.552196005459338412E+05,0.554720382066580642E+05,0.555975482812445334E+05,0.558485921772605871E+05,0.559751530503219401E+05,0.562273075189799347E+05,0.563530162727426650E+05,0.507781285112835030E+04
0.188783474424018827E-01,0.614141278395416634E+03,0.510787090264442245E+00,0.125957819999999998E+03,0.557234140199999965E+05,0.421224595394163015E+00,0.481711409690764258E+00,0.549676564524529022E+05,0.552196166163191956E+05,0.554715314009078429E+05,0.555974128398321700E+05,0.558502299764302516E+05,0.559755624112588193E+05,0.562272229450235682E+05,0.563530599129945331E+05,0.507781681985876730E+04
0.143036910863741946E-01,0.334230223653442692E+03,0.148540609383297523E+00,0.125957819999999998E+03,0.557234140199999965E+05,0.877602011763735756E+00,0.588843101814771175E+00,0.549676705994176154E+05,0.552196555967407330E+05,0.554720988655477922E+05,0.555977130992907114E+05,0.558485075012490342E+05,0.559753965172476383E+05,0.562272330111575066E+05,0.563531079005564170E+05,0.507783978069333170E+04
0.204685462794131079E-01,0.688483160367010214E+02,0.913524901004277079E+00,0.125957819999999998E+03,0.557234140199999965E+05,0.701981617388422130E+00,0.380674609277078246E+00,0.549677338794510433E+05,0.552196023327879593E+05,0.554714156624639800E+05,0.555974878353543245E+05,0.558498813747116219E+05,0.559753089570447482E+05,0.562272318058194651E+05,0.563523197803836229E+05,0.507789232125589660E+04
0.205674240422802877E-01,0.633933389725721327E+03,0.664824522773336257E+00,0.125957819999999998E+03,0.557234140199999965E+05,0.302580778374935355E+00,0.528947729092245633E+00,0.549676457768827458E+05,0.552195307048283867E+05,0.554720203092036099E+05,0.555975075361701456E+05,0.558502900980088089E+05,0.559751530669533022E+05,0.562272417334913043E+05,0.563531845480237680E+05,0.507789306206858964E+04
