seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_tau2,seg0_tau3,seg0_tau4,seg0_tau5,seg0_tau6,seg0_likelihood
0.191740927309581338E+00,0.912511595167610068E+01,0.117042168812368419E+01,0.153356672000000003E+03,0.556368870880000031E+05,0.333416915453570939E+00,0.866580716487939662E+00,0.550236051942224221E+05,0.551767810702796342E+05,0.553302233425058585E+05,0.557902342039334180E+05,0.559436119370103188E+05,0.560970372492428141E+05,0.564037047617334101E+05,0.499482611915841971E+04
0.169191565063093637E-01,0.505960857627568544E+03,0.533942141871284526E+00,0.153356672000000003E+03,0.556368870880000031E+05,0.388888156249508343E+00,0.206374146517181965E-01,0.550235710605133281E+05,0.551768960228819124E+05,0.553302303010699979E+05,0.557901746265909533E+05,0.559438029530723070E+05,0.560969377682560153E+05,0.564037424558014318E+05,0.499489063850237835E+04
0.746027521096360946E+00,0.865217923971851910E+01,0.172776066054174748E+01,0.153356672000000003E+03,0.556368870880000031E+05,0.422251552911136196E+00,0.929118372913736223E+00,0.550241591364393607E+05,0.551769096101038012E+05,0.553301819766004555E+05,0.557903096473109326E+05,0.559434851735909542E+05,0.560969913158237978E+05,0.564035388731685453E+05,0.499497901954346526E+04
0.183253041746631908E-01,0.459796017946748236E+03,0.322674356456084388E+00,0.153356672000000003E+03,0.556368870880000031E+05,0.419870006083533531E+00,0.267870380826034871E+00,0.550242655894330092E+05,0.551768813494817368E+05,0.553302310535040742E+05,0.557902467031315391E+05,0.559436824337308863E+05,0.560969286295993807E+05,0.564036861040963558E+05,0.499499029679491105E+04
0.176559887233625062E-01,0.862087033820974284E+03,0.390407112276109705E-01,0.153356672000000003E+03,0.556368870880000031E+05,0.649135373041145103E+00,0.399841328576213906E+00,0.550228419842522417E+05,0.551768880823957952E+05,0.553302453622972680E+05,0.557902644584820227E+05,0.559434940779609533E+05,0.560969786430586537E+05,0.564034956500505359E+05,0.499508246828777374E+04
0.385669886428459563E+00,0.462393507917955393E+01,0.136278872454168054E+01,0.153356672000000003E+03,0.556368870880000031E+05,0.843103060894524803E+00,0.406973264172910774E-02,0.550235888401974516E+05,0.551769410138004896E+05,0.553303346401937742E+05,0.557901884991449697E+05,0.559435891716052065E+05,0.560969994826699767E+05,0.564036779829564184E+05,0.499510081426924080E+04
0.532454109820226229E+00,0.157583167357743004E+01,0.151840915612347716E+01,0.153356672000000003E+03,0.556368870880000031E+05,0.240225288263874653E+00,0.551974076790740620E+00,0.550225584106476817E+05,0.551768682375626158E+05,0.553302054856173636E+05,0.557901460608268899E+05,0.559435834828685620E+05,0.560969476111870827E+05,0.564036237133496616E+05,0.499510927897291731E+04
0.419121239008329094E+00,0.184400788626013989E+01,0.140482748580023764E+01,0.153356672000000003E+03,0.556368870880000031E+05,0.804125682976160883E-01,0.702671508544750245E+00,0.550235232719739361E+05,0.551768636765920892E+05,0.553301603990423901E+05,0.557900976130814524E+05,0.559435586512880327E+05,0.560970698502778978E+05,0.564037145225843997E+05,0.499512590007964172E+04
0.201317257736854972E-01,0.460247862616205680E+03,0.501491813928550023E+00,0.153356672000000003E+03,0.556368870880000031E+05,0.812191818989010161E+00,0.172678118366306838E+00,0.550225471786921844E+05,0.551768638823095098E+05,0.553302329755939645E+05,0.557902251684728108E+05,0.559435307765413309E+05,0.560970174459197660E+05,0.564037713565457088E+05,0.499513897526975325E+04
0.666785876109176834E+00,0.586358899571747560E+01,0.164866929446902311E+01,0.153356672000000003E+03,0.556368870880000031E+05,0.405610674558948558E+00,0.322584956729756067E+00,0.550242399275674470E+05,0.551768365043232407E+05,0.553301460259866726E+05,0.557902638268955998E+05,0.559436057221820010E+05,0.560969374103397204E+05,0.564037643993239908E+05,0.499518847822251155E+04
0.190404812561812825E-01,0.700089281759403434E+03,0.640953846845293662E+00,0.153356672000000003E+03,0.556368870880000031E+05,0.150824716900674477E+00,0.599938147145290923E+00,0.550241582359224340E+05,0.551769470246045748E+05,0.553302660433864148E+05,0.557901882755255283E+05,0.559435039087089026E+05,0.560969642220898313E+05,0.564036246997728158E+05,0.499522857233323339E+04
0.135570873538912451E+00,0.723211299453315704E+01,0.111465533247803261E+01,0.153356672000000003E+03,0.556368870880000031E+05,0.168155668858054219E+00,0.431038848192122626E+00,0.550235060630892840E+05,0.551768450655933775E+05,0.553303174962943885E+05,0.557902120501869576E+05,0.559434851035398970E+05,0.560970009336298244E+05,0.564037049331440357E+05,0.499531279289897884E+04
0.125643750733414689E+00,0.785895734736480645E+01,0.108970301188542473E+01,0.153356672000000003E+03,0.556368870880000031E+05,0.997629974952828902E+00,0.825412051822728005E-01,0.550228904307450721E+05,0.551769018092378319E+05,0.553302968759083378E+05,0.557902973636667521E+05,0.559435589158751609E+05,0.560969556752577846E+05,0.564035677167096146E+05,0.499532465117212905E+04
0.716737586524408998E+00,0.374176004692623598E+01,0.170247108161235228E+01,0.153356672000000003E+03,0.556368870880000031E+05,0.468675027715339698E+00,0.342421064624877702E+00,0.550234813597074462E+05,0.551768767695950810E+05,0.553302065922810725E+05,0.557902506252922249E+05,0.559436057109502799E+05,0.560970874238369579E+05,0.564036331955120913E+05,0.499535688369328363E+04
0.158405706970098786E-01,0.710599860637449638E+03,0.228723071265390460E+00,0.153356672000000003E+03,0.556368870880000031E+05,0.293116421442330133E+00,0.604982228338868944E+00,0.550235402541904841E+05,0.551768558323213001E+05,0.553302547987785583E+05,0.557903013170218328E+05,0.559435268272312533E+05,0.560968983465862912E+05,0.564035698554877090E+05,0.499538395671937724E+04
0.390432281585061172E-01,0.670517579499357730E+01,0.989028783041936976E+00,0.153356672000000003E+03,0.556368870880000031E+05,0.718578755062920349E+00,0.677030929110211566E+00,0.550227728997815211E+05,0.551769284889063420E+05,0.553302349728595582E+05,0.557902481086509506E+05,0.559434435331678687E+05,0.560970362170548688E+05,0.564036630749498872E+05,0.499543558374622535E+04
0.719333333877980041E-01,0.226348977826505404E+01,0.104648125584314022E+01,0.153356672000000003E+03,0.556368870880000031E+05,0.251956337732146429E+00,0.771562187993385495E+00,0.550234712794563238E+05,0.551768509664815138E+05,0.553301700954250773E+05,0.557901607114853614E+05,0.559436420523819543E+05,0.560968736152524289E+05,0.564036510452132861E+05,0.499556665162793252E+04
0.222284774587179601E+00,0.628351683224343738E+01,0.120036383232850907E+01,0.153356672000000003E+03,0.556368870880000031E+05,0.454786832895439974E+00,0.995672940368061532E+00,0.550243470296428568E+05,0.551768248234704297E+05,0.553300975619524979E+05,0.557902458245582602E+05,0.559435546258127142E+05,0.560969711511045243E+05,0.564036824698409619E+05,0.499559053843479251E+04
0.424805006397720453E+00,0.639730290963243498E+01,0.139677452002015556E+01,0.153356672000000003E+03,0.556368870880000031E+05,0.885861221322114201E+00,0.163438423324293140E-01,0.550241483663683030E+05,0.551768190306576362E+05,0.553301614331051242E+05,0.557902963772687799E+05,0.559434657294132849E+05,0.560969354294124423E+05,0.564036374385769232E+05,0.499559808132867511E+04
0.459248640427669497E+00,0.643823300546534938E+01,0.142861713232475585E+01,0.153356672000000003E+03,0.556368870880000031E+05,0.746952730890898420E+00,0.823915467546196156E+00,0.550242652393757016E+05,0.551768500456217953E+05,0.553303137805555962E+05,0.557901868853353008E+05,0.559435426405037942E+05,0.560969716420460172E+05,0.564037031913965839E+05,0.499565880562525672E+04
0.159426720712987635E-01,0.685427143558850617E+03,0.715689357550929051E-01,0.153356672000000003E+03,0.556368870880000031E+05,0.131678300571923174E+00,0.604458219662538543E+00,0.550233527127613052E+05,0.551768759919121003E+05,0.553302333594552692E+05,0.557901238610080763E+05,0.559436034597023827E+05,0.560969434552868042E+05,0.564036554310025167E+05,0.499567823680218498E+04
0.543832242989056858E+00,0.110285841000294340E+02,0.152082271167526040E+01,0.153356672000000003E+03,0.556368870880000031E+05,0.597567492748408702E+00,0.826425930716666923E+00,0.550241954086693659E+05,0.551768500706847626E+05,0.553301430882535060E+05,0.557902802490357208E+05,0.559435568078003926E+05,0.560970494196066502E+05,0.564037337715406757E+05,0.499569285724203201E+04
0.686645145852871064E+00,0.971609405059292364E+01,0.166675290875729698E+01,0.153356672000000003E+03,0.556368870880000031E+05,0.561271354229192942E+00,0.444616016737496844E+00,0.550234755166738760E+05,0.551768213224082210E+05,0.553302936195608927E+05,0.557902765198780253E+05,0.559434533642522438E+05,0.560970288996246236E+05,0.564035757193127793E+05,0.499578925003112181E+04
0.198887854503281176E-01,0.268474283956309762E+03,0.791014466307453978E+00,0.153356672000000003E+03,0.556368870880000031E+05,0.110364877784436363E+00,0.518847569449370605E+00,0.550234519740109972E+05,0.551768777672403012E+05,0.553303136306518863E+05,0.557902899216256992E+05,0.559435867860043363E+05,0.560970527871812737E+05,0.564036677116247229E+05,0.499581471775337741E+04
0.223132440195449207E-01,0.206761360141528343E+03,0.790569124806106860E+00,0.153356672000000003E+03,0.556368870880000031E+05,0.532601833322123186E+00,0.967337536416169597E+00,0.550238171435129552E+05,0.551768731909427515E+05,0.553302161220154012E+05,0.557902151484146525E+05,0.559435421024621028E+05,0.560969306542116828E+05,0.564036184709193403E+05,0.499587711950279299E+04
0.181064112890176182E-01,0.146182520046730451E+04,0.232493970306800773E+00,0.153356672000000003E+03,0.556368870880000031E+05,0.789482355807332170E+00,0.209608252779442727E+00,0.550226629133322858E+05,0.551768550254322327E+05,0.553302593667254259E+05,0.557901773901162742E+05,0.559434696022756179E+05,0.560969753922912569E+05,0.564036549294647994E+05,0.499590369524384369E+04
0.407450931678363867E-01,0.822264006226900435E+01,0.989275832779901831E+00,0.153356672000000003E+03,0.556368870880000031E+05,0.820160987126767549E+00,0.553256811145406036E+00,0.550244216090357877E+05,0.551768120162702617E+05,0.553302534326182358E+05,0.557902971017590171E+05,0.559435313254849170E+05,0.560969181624092234E+05,0.564036688874663014E+05,0.499591960814066078E+04
0.171965914746839144E-01,0.624200177822319802E+03,0.349921133898900394E+00,0.153356672000000003E+03,0.556368870880000031E+05,0.156207613371641379E+00,0.194853321214023795E+00,0.550235513489445439E+05,0.551769090426606708E+05,0.553302532938759396E+05,0.557901783083367773E+05,0.559434872946804462E+05,0.560968963235807169E+05,0.564036732002892895E+05,0.499603454193311245E+04
0.842431800341643888E+00,0.680244969338288730E+01,0.182194685414482294E+01,0.153356672000000003E+03,0.556368870880000031E+05,0.578272834190222573E+00,0.955926123704546438E+00,0.550234696086929471E+05,0.551768803278830383E+05,0.553302219655863883E+05,0.557901028492214100E+05,0.559436198978758621E+05,0.560969383487302985E+05,0.564037365199839551E+05,0.499606935734130002E+04
0.401824644003597950E-01,0.175811297953375814E+02,0.987214804157720005E+00,0.153356672000000003E+03,0.556368870880000031E+05,0.798274913155269550E+00,0.660800385123131995E+00,0.550240976286103687E+05,0.551769089473630011E+05,0.553301336307787569E+05,0.557902352178600922E+05,0.559435754097736281E+05,0.560969989214451416E+05,0.564036181229900540E+05,0.499610201899840195E+04
