seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_likelihood
0.133268699728175243E-01,0.309697003171875487E+02,0.769269807618628287E-01,0.289882299999999987E+03,0.553814018999999971E+05,0.256311275426497287E+00,0.952584001001506642E+00,0.553817546480500387E+05,0.453112326271154961E+04
0.134960761002962254E-01,0.259863450906717937E+02,0.390528702546227013E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.811255592419200977E+00,0.124573570475591935E+00,0.553816022641959134E+05,0.453113735046666898E+04
0.123785458265717723E-01,0.811552531668616517E+01,0.664760972686802454E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.155465859482182157E-01,0.852150550134739948E+00,0.553821800687676732E+05,0.453114175433507262E+04
0.129934913134212675E-01,0.113325603009794822E+02,0.206690557118093227E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.444967936681268161E+00,0.105119912867994714E+00,0.553821129174716625E+05,0.453114813927081104E+04
0.133755616959439841E-01,0.263552894209291111E+02,0.445340671785882491E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.424508948643210926E+00,0.469632263834886543E+00,0.553815170526126822E+05,0.453117105128763160E+04
0.122269942395566381E-01,0.397002906551357260E+01,0.708690582771483002E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.639496074208884435E+00,0.845704072406799456E+00,0.553819151838940743E+05,0.453118094594020931E+04
0.100536025743520364E-01,0.943216859233278981E+01,0.155114455506927068E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.806572296996070026E+00,0.627060293345540365E+00,0.553819488014532180E+05,0.453121617579125359E+04
0.153985673875861213E-01,0.154349453527198310E+01,0.872656720038354039E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.771741659648735867E+00,0.363308310285582803E+00,0.553818969103463605E+05,0.453121729045588836E+04
0.123837798961378316E-01,0.496112780863199916E+02,0.750898768573718123E-01,0.289882299999999987E+03,0.553814018999999971E+05,0.131746062375013434E+00,0.882782055805687471E+00,0.553817975079387979E+05,0.453122421960724751E+04
0.129464382041277696E-01,0.447696523523553225E+02,0.375577344316213979E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.169395936460301544E+00,0.104459737155572607E+00,0.553816384990964216E+05,0.453122538647954298E+04
0.145218997349454634E-01,0.249675795368078859E+02,0.468466774557584120E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.474390266274507144E+00,0.958324826894263349E+00,0.553818065114559795E+05,0.453123238053541991E+04
0.167276477996499938E-01,0.265452537995715225E+02,0.709691960951257084E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.796516121403634147E+00,0.277387356295203946E+00,0.553817207796283765E+05,0.453124224018318273E+04
0.143356340035030970E-01,0.507481610363128723E+02,0.282652290387568617E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.753758534684994874E+00,0.703823643683852196E+00,0.553817424908701723E+05,0.453125592416494692E+04
0.134041974004645362E-01,0.103877424997092803E+03,0.304591763624045830E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.950767029131679653E+00,0.200181173168146820E+00,0.553816652481807760E+05,0.453129304402765410E+04
0.118001162266125580E-01,0.210076118010718886E+02,0.366994047198027640E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.646485330290711757E+00,0.103410570939335991E+00,0.553816064741913069E+05,0.453129858705588504E+04
0.121421719348389634E-01,0.459460330903897063E+01,0.723418044985058351E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.128109074664021633E+00,0.881479698545701074E+00,0.553821175919538073E+05,0.453129973248891838E+04
0.120825005076727939E-01,0.619122984870575408E+02,0.332338567675164176E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.652930068269581443E+00,0.898528123374169541E+00,0.553816534272256904E+05,0.453130947680568079E+04
0.127989267864641338E-01,0.256030729888237296E+01,0.831647652995202713E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.354797054526316658E+00,0.296165626295457840E+00,0.553822582278206683E+05,0.453131518640266222E+04
0.133628980663695503E-01,0.554683428009252300E+01,0.653261114074907057E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.356922913695567723E+00,0.284009001639858427E+00,0.553821015732915694E+05,0.453132729809970897E+04
0.133632082533781376E-01,0.390596551702134587E+01,0.682636017027467346E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.464036890136746094E+00,0.375134924758802168E+00,0.553821263266415699E+05,0.453133852084955288E+04
0.127251577531965771E-01,0.262758574215220726E+02,0.268140135289292925E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.836661505778994341E+00,0.166269039998675865E-01,0.553817472662598593E+05,0.453136653703239335E+04
0.138370008736655205E-01,0.161712759691580921E+02,0.579995607246081568E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.214072893568476696E+00,0.856115600237224023E-01,0.553816022415090993E+05,0.453137237442248443E+04
0.160748709316685147E-01,0.265797582066895828E+02,0.698620729116062100E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.485040739872361903E+00,0.936971801475847133E+00,0.553816072747269573E+05,0.453138739272648490E+04
0.121187568796332704E-01,0.885440753262190157E+02,0.152187485561916414E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.817377002966729438E+00,0.123477027244424997E+00,0.553817054052971944E+05,0.453139660130446828E+04
0.136108864390321310E-01,0.494964630162823980E+02,0.248298996679291423E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.892677284488246348E+00,0.441089384371020909E+00,0.553818372902942865E+05,0.453141356821067257E+04
0.137866463298722177E-01,0.485432396351122080E+02,0.659806633120562647E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.213919852825987189E+00,0.487285922689441264E+00,0.553817256761575554E+05,0.453141392147961506E+04
0.133454561833423278E-01,0.394646316886523341E+01,0.709489011574021888E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.487334007198148456E+00,0.499880639319108089E+00,0.553819581080809076E+05,0.453142391584822417E+04
0.141280658238642359E-01,0.550160399907388182E+02,0.657299084762523633E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.627286649455210177E+00,0.110047304529709983E+00,0.553816835428098420E+05,0.453143164433250422E+04
0.137458432865695899E-01,0.108545392602817152E+02,0.751944971888550806E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.219720670675516982E+00,0.831614653237823354E+00,0.553818419328533419E+05,0.453143182973997500E+04
0.112812477576945940E-01,0.175297717036708569E+02,0.245352295452832075E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.707822573845281244E+00,0.908606836098948212E+00,0.553818133383177410E+05,0.453143402528957995E+04
0.149667808792324063E-01,0.120256443260058568E+02,0.791490815631444966E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.375301327555586858E-01,0.921852488835502526E+00,0.553817856528771008E+05,0.453145577485094691E+04
0.155438343619932664E-01,0.457392862756445151E+01,0.791916573689396386E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.968568141065883959E+00,0.967708836401632744E+00,0.553815329234910751E+05,0.453146345733592261E+04
0.122788337579440038E-01,0.320590331717507766E+02,0.274061670785517075E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.408208502067630763E+00,0.663382015675961223E+00,0.553817104692739522E+05,0.453147575773259541E+04
0.116252258854141356E-01,0.129545864617664215E+02,0.132824721918007010E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.818423609193836388E+00,0.258155459649398566E+00,0.553822294769097425E+05,0.453148072989153388E+04
0.132760995134825182E-01,0.746411773182325966E+01,0.598569623709319876E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.999629906259611234E+00,0.615223901856743027E+00,0.553816749854944064E+05,0.453149055938162383E+04
0.130819545792702965E-01,0.176246599610507388E+02,0.650094475762124757E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.291643777920344571E+00,0.212327142682508435E+00,0.553818937861800950E+05,0.453154296252952554E+04
0.166638042331736930E-01,0.104789613915682569E+02,0.853331244924453780E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.403162722743513668E+00,0.589345166203850135E+00,0.553816139937370463E+05,0.453154807928915125E+04
0.116757702709513866E-01,0.608918751593183742E+02,0.150981320089255910E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.688146540235352155E+00,0.772219789792007866E-01,0.553816807094088799E+05,0.453155310356351765E+04
0.196456819814225872E-01,0.133396556560028423E+01,0.876152900988428240E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.889584229759872835E+00,0.994972809485139109E+00,0.553817179296054310E+05,0.453157071068032292E+04
0.132850356422639527E-01,0.738586412667115155E+01,0.462712743811952987E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.205738052018248407E+00,0.844337202429152334E+00,0.553819848163566348E+05,0.453158090083201387E+04
0.128508945280546866E-01,0.149780429869059439E+02,0.475599616115482904E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.128247439815899009E-01,0.221270839258406127E+00,0.553820849840888841E+05,0.453158595301960668E+04
0.109936592644139276E-01,0.265555530430822877E+02,0.417558947199858699E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.931691581997094120E+00,0.816724496151338242E+00,0.553817816448037847E+05,0.453159421250387732E+04
0.146779118730527691E-01,0.394587585056725487E+02,0.409828302441924086E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.422286213366472429E+00,0.857717642316944251E+00,0.553816356012761535E+05,0.453159880703194722E+04
0.109399479062858278E-01,0.129107769766690392E+02,0.208783722222457974E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.614194671739027975E+00,0.716277984463770001E+00,0.553817906485272979E+05,0.453160401363431356E+04
