seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_likelihood
0.214234590530395508E+00,0.296712644189157544E+02,0.191119408607482910E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.386733472347259521E+00,0.320882976055145264E+00,0.558829066108487168E+05,0.563665048040853144E+05,0.175442179340950679E+04
0.347895979881286621E+00,0.192737662683546841E+05,0.193810355663299561E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.481881201267242432E+00,0.326806306838989258E-02,0.558831845438502351E+05,0.563672844529853464E+05,0.175442179340950679E+04
0.498215079307556152E+00,0.355946858457307273E+06,0.192805087566375732E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.641400158405303955E+00,0.690022766590118408E+00,0.558838818405888596E+05,0.563665084585652949E+05,0.175442179340950679E+04
0.275342166423797607E+00,0.340239439030307229E+06,0.117612648010253906E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.927298545837402344E+00,0.367643058300018311E+00,0.558838646335623780E+05,0.563665266454921366E+05,0.175442179340950679E+04
0.226993203163146973E+00,0.983500276928878855E+06,0.135372126102447510E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.255075454711914062E+00,0.443670213222503662E+00,0.558829704350255051E+05,0.563657675564990641E+05,0.175442179340950679E+04
0.255774021148681641E+00,0.581164602236908031E+05,0.172382259368896484E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.348155081272125244E+00,0.869689464569091797E+00,0.558823123711369553E+05,0.563659713153348566E+05,0.175442179340950679E+04
0.167388498783111572E+00,0.626919310152176549E+05,0.180041778087615967E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.837450683116912842E+00,0.564942359924316406E+00,0.558839780372403184E+05,0.563659559810863138E+05,0.175442179340950679E+04
0.283077776432037354E+00,0.123536916132850238E+05,0.125177824497222900E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.973339259624481201E+00,0.535853981971740723E+00,0.558837120603344956E+05,0.563673614652858378E+05,0.175442179340950679E+04
0.499516904354095459E+00,0.808909796329110350E+03,0.157377219200134277E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.727045536041259766E+00,0.165922701358795166E+00,0.558826381624959031E+05,0.563666309872375132E+05,0.175442179340950679E+04
0.655520796775817871E+00,0.409698888356783311E+06,0.194011569023132324E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.904487550258636475E+00,0.906848609447479248E+00,0.558838304351590195E+05,0.563667842008576990E+05,0.175442179340950679E+04
0.260612964630126953E-01,0.298957806637812755E+06,0.151476144790649414E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.523139834403991699E+00,0.821310460567474365E+00,0.558836885350964585E+05,0.563669879383550287E+05,0.175442179340950679E+04
0.200603127479553223E+00,0.362975470129337410E+02,0.154054021835327148E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.317971169948577881E+00,0.948566615581512451E+00,0.558824292647860566E+05,0.563656505635486246E+05,0.175442179340950679E+04
0.165136456489562988E-01,0.216884725299255869E+02,0.118189215660095215E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.578058958053588867E-01,0.232511043548583984E+00,0.558839773342631379E+05,0.563655280670629145E+05,0.175442179340950679E+04
0.110400378704071045E+00,0.233268013652842711E+03,0.113191425800323486E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.751139163970947266E+00,0.855482816696166992E+00,0.558840179293177644E+05,0.563658216702447535E+05,0.175442179340950679E+04
0.405518352985382080E+00,0.378376791283998770E+01,0.141085374355316162E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.654895842075347900E+00,0.873775541782379150E+00,0.558825300695918122E+05,0.563660200591788889E+05,0.175442179340950679E+04
0.685744345188140869E+00,0.410631438158701599E+03,0.168688213825225830E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.813159227371215820E+00,0.508639812469482422E-01,0.558824713809512177E+05,0.563666672256694437E+05,0.175442179340950679E+04
0.191595911979675293E+00,0.530054651600672005E+05,0.175583493709564209E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.808360517024993896E+00,0.324573874473571777E+00,0.558828500138543168E+05,0.563669703989730478E+05,0.175442179340950679E+04
0.585529267787933350E+00,0.140012881487121597E+02,0.177904927730560303E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.736387968063354492E+00,0.701375126838684082E+00,0.558833866008542100E+05,0.563668047996268870E+05,0.175442179340950679E+04
0.561190187931060791E+00,0.477601655550327443E+06,0.168455338478088379E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.145250320434570312E+00,0.668043971061706543E+00,0.558828719865105668E+05,0.563667543351159693E+05,0.175442179340950679E+04
0.677134394645690918E-01,0.711616950806226378E+05,0.690977215766906738E+00,0.241653652999999991E+03,0.561248147820000013E+05,0.180452108383178711E+00,0.400482416152954102E-01,0.558836519277117768E+05,0.563668569715724589E+05,0.175442179340950679E+04
0.963485836982727051E+00,0.214300927514236719E+05,0.119857096672058105E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.866226434707641602E+00,0.685666501522064209E+00,0.558838079201005021E+05,0.563672957536683680E+05,0.175442179340950679E+04
0.532382547855377197E+00,0.215166432837936661E+01,0.155002951622009277E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.499399721622467041E+00,0.349666953086853027E+00,0.558825888141415635E+05,0.563668558415876032E+05,0.175442179340950679E+04
0.452261030673980713E+00,0.437286934477689920E+04,0.734104037284851074E+00,0.241653652999999991E+03,0.561248147820000013E+05,0.640217721462249756E+00,0.684291899204254150E+00,0.558839280113003770E+05,0.563668119502769114E+05,0.175442179340950679E+04
