seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_tau2,seg0_likelihood
0.375226259231567383E+00,0.279607041496642106E+01,0.168442869186401367E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.150519132614135742E+00,0.165954232215881348E+00,0.550436897315664319E+05,0.552787230419567568E+05,0.557507326619811502E+05,0.287651566165886425E+04
0.343952178955078125E-01,0.914257205474804202E+01,0.121977043151855469E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.493121147155761719E-01,0.501859068870544434E+00,0.550427119116468457E+05,0.552799455712488634E+05,0.557518115961738076E+05,0.287651566165886425E+04
0.143497049808502197E+00,0.166143844922270972E+03,0.149516153335571289E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.950090229511260986E+00,0.429896712303161621E+00,0.550421620894355801E+05,0.552793489295891268E+05,0.557504991830773797E+05,0.287651566165886425E+04
0.208461463451385498E+00,0.248476867877622595E+03,0.134284555912017822E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.735102415084838867E+00,0.906887650489807129E+00,0.550435558962507275E+05,0.552799269556454165E+05,0.557517013853974786E+05,0.287651566165886425E+04
0.963393509387969971E+00,0.540544383148802954E+01,0.199441611766815186E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.321577250957489014E+00,0.767188370227813721E+00,0.550438951550407437E+05,0.552794404142549974E+05,0.557521128267236199E+05,0.287651566165886425E+04
0.355161309242248535E+00,0.174517719037661116E+02,0.165830278396606445E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.781352102756500244E+00,0.337094426155090332E+00,0.550428742203397778E+05,0.552795058109215242E+05,0.557511916339583840E+05,0.287651566165886425E+04
0.471185445785522461E-01,0.167060832561766612E+06,0.169053852558135986E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.221634805202484131E+00,0.373096227645874023E+00,0.550421155867261914E+05,0.552783591820648653E+05,0.557514673665948358E+05,0.287651566165886425E+04
0.106879830360412598E+00,0.419890264353932086E+01,0.124190938472747803E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.917120635509490967E+00,0.654810309410095215E+00,0.550433461748046902E+05,0.552782399980476839E+05,0.557516602513976541E+05,0.287651566165886425E+04
0.478484034538269043E-01,0.753658110963969818E+02,0.137405312061309814E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.486137568950653076E+00,0.756547391414642334E+00,0.550431671849174527E+05,0.552792606982639772E+05,0.557520581039376702E+05,0.287651566165886425E+04
0.518624901771545410E+00,0.242073701449307634E+02,0.154194808006286621E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.687225639820098877E+00,0.122918128967285156E+00,0.550421838451309231E+05,0.552798942627361757E+05,0.557504728683419671E+05,0.287651566165886425E+04
0.814197361469268799E+00,0.139174240457167770E+03,0.188745927810668945E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.420769631862640381E+00,0.916667997837066650E+00,0.550432124402208356E+05,0.552782739121368868E+05,0.557512385698743310E+05,0.287651566165886425E+04
0.594482958316802979E+00,0.189730420223982037E+02,0.176326227188110352E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.188520252704620361E+00,0.941292464733123779E+00,0.550424713697118787E+05,0.552783701128414614E+05,0.557505094034858193E+05,0.287651566165886425E+04
0.160417914390563965E+00,0.662886276073578884E+01,0.184122872352600098E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.289148926734924316E+00,0.225337922573089600E+00,0.550420876418037442E+05,0.552797260893038256E+05,0.557505573805757012E+05,0.287651566165886425E+04
0.117524325847625732E+00,0.101379877518970165E+02,0.115642499923706055E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.322566390037536621E+00,0.551660895347595215E+00,0.550420869855566052E+05,0.552793598495176775E+05,0.557516797379441705E+05,0.287651566165886425E+04
0.606737792491912842E+00,0.439881019765715394E+03,0.174787831306457520E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.989192128181457520E-01,0.486888885498046875E-01,0.550430385776443509E+05,0.552783895263126833E+05,0.557508687719293084E+05,0.287651566165886425E+04
