seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_tau2,seg0_tau3,seg0_likelihood
0.347035353630616772E+00,0.149245512424672455E+01,0.133296614070428476E+01,0.284697260000000028E+03,0.556600816199999972E+05,0.331206752020814732E+00,0.712752858730627104E+00,0.550904011214783895E+05,0.553759913365730099E+05,0.559449067977114319E+05,0.562297619116168134E+05,0.382995243546911615E+04
0.140630638905665534E-01,0.802513689744358430E+03,0.966083130114098465E-01,0.284697260000000028E+03,0.556600816199999972E+05,0.634698280915360180E+00,0.163341410081645516E+00,0.550906125099614073E+05,0.553761024481662462E+05,0.559449386727299134E+05,0.562297116236785514E+05,0.382996571207980514E+04
0.681945251590288098E-01,0.670179868642406706E+01,0.103411621475456195E+01,0.284697260000000028E+03,0.556600816199999972E+05,0.835016399434056811E+00,0.187804895691080220E+00,0.550907179631152030E+05,0.553759875099736164E+05,0.559450041695132386E+05,0.562296620750260117E+05,0.383007816897383464E+04
0.965744614465780526E+00,0.386388220437060026E+01,0.194795641539866260E+01,0.284697260000000028E+03,0.556600816199999972E+05,0.728484024337857528E+00,0.856715992338940024E+00,0.550906152587148026E+05,0.553760425613259358E+05,0.559449369426153789E+05,0.562296630996821332E+05,0.383014311264531580E+04
0.429058926613813119E+00,0.384064139555799011E+01,0.141092311253454250E+01,0.284697260000000028E+03,0.556600816199999972E+05,0.630033832664792293E+00,0.660259032861805317E+00,0.550916171538264753E+05,0.553760991521590040E+05,0.559449230786132757E+05,0.562297582177890217E+05,0.383020695646022295E+04
0.186052585847570617E-01,0.938543670580277833E+01,0.966207133253218386E+00,0.284697260000000028E+03,0.556600816199999972E+05,0.484812887330278441E+00,0.714073802698241278E+00,0.550909207421970350E+05,0.553760685443353068E+05,0.559450333978946728E+05,0.562297778128350474E+05,0.383028890316115076E+04
0.146818603200650349E-01,0.213104080045955129E+03,0.620994297410217277E+00,0.284697260000000028E+03,0.556600816199999972E+05,0.815512896572787582E+00,0.604343002407621496E-01,0.550909622627611752E+05,0.553761244878809957E+05,0.559449192703344452E+05,0.562297706972179731E+05,0.383031680337131229E+04
0.145315964590734276E-01,0.897843838299080403E+03,0.848715408430304186E-01,0.284697260000000028E+03,0.556600816199999972E+05,0.106903931215322212E+00,0.958188285668705397E+00,0.550906393264907165E+05,0.553761629812360334E+05,0.559449702199959793E+05,0.562296910120100729E+05,0.383032664229473494E+04
0.353044095045399520E+00,0.227427541360567798E+01,0.133532141027647611E+01,0.284697260000000028E+03,0.556600816199999972E+05,0.586116461079605022E+00,0.738176059224700087E+00,0.550916080534452631E+05,0.553760340956368746E+05,0.559448957211741654E+05,0.562297354692816225E+05,0.383038216687698105E+04
0.966168865145921596E+00,0.232732258128821856E+01,0.195759884578980792E+01,0.284697260000000028E+03,0.556600816199999972E+05,0.181180144810530776E-01,0.189788523955287974E+00,0.550909073519971935E+05,0.553760120842173783E+05,0.559448936671831689E+05,0.562297345167869935E+05,0.383038675995290714E+04
0.166662161025377190E-01,0.417300049229197327E+03,0.660799383273934837E+00,0.284697260000000028E+03,0.556600816199999972E+05,0.126836030261340382E+00,0.616355659175003234E+00,0.550916720821121780E+05,0.553761314846748646E+05,0.559450192274849978E+05,0.562297047349560016E+05,0.383040200439765476E+04
0.803365076159939351E+00,0.611540248207113724E+01,0.178164958096640036E+01,0.284697260000000028E+03,0.556600816199999972E+05,0.741089820856693504E+00,0.952596803787521207E+00,0.550908572094072879E+05,0.553760872445291461E+05,0.559449330924997048E+05,0.562297680739569187E+05,0.383041964480975594E+04
0.699457654303708848E-01,0.258668706494732881E+01,0.103790822370733804E+01,0.284697260000000028E+03,0.556600816199999972E+05,0.778695090161481085E+00,0.818958955304949665E+00,0.550906770166057977E+05,0.553760186594705083E+05,0.559450121142596399E+05,0.562297253545527128E+05,0.383043311921423310E+04
0.961472218970828463E+00,0.276826246642177543E+01,0.194248489884301012E+01,0.284697260000000028E+03,0.556600816199999972E+05,0.879137608573256291E+00,0.503341998123213563E+00,0.550906961508483510E+05,0.553760589690845809E+05,0.559448276486485556E+05,0.562297032675190421E+05,0.383043853364373854E+04
0.136231978963741885E-01,0.459018866623565145E+03,0.580316411791789719E-04,0.284697260000000028E+03,0.556600816199999972E+05,0.692467371179765756E+00,0.724914324135162769E+00,0.550899810130000551E+05,0.553759952178207386E+05,0.559449952875877716E+05,0.562297368023467570E+05,0.383047607655960519E+04
0.161063656606858820E-01,0.118282723113585325E+04,0.258507413836258970E+00,0.284697260000000028E+03,0.556600816199999972E+05,0.290673666673229303E+00,0.412292253507943129E+00,0.550907279858416732E+05,0.553760928197542817E+05,0.559449873879325678E+05,0.562296469515398494E+05,0.383052010970066067E+04
0.154953324833012173E-01,0.418502661816094701E+03,0.434505566018508926E+00,0.284697260000000028E+03,0.556600816199999972E+05,0.563641743779594973E+00,0.126051235665085304E-01,0.550909387514094415E+05,0.553759441802767178E+05,0.559450579867194028E+05,0.562297814181587310E+05,0.383052235103569137E+04
0.561123581090682944E+00,0.180051098466840132E+01,0.154377644766752531E+01,0.284697260000000028E+03,0.556600816199999972E+05,0.770930930139094306E+00,0.226027253683585228E+00,0.550905857280269993E+05,0.553760179624063094E+05,0.559449186246597455E+05,0.562297991190261891E+05,0.383052680783574260E+04
0.741513447111372015E+00,0.240524608685613117E+01,0.173051661668699963E+01,0.284697260000000028E+03,0.556600816199999972E+05,0.265536837938786185E+00,0.220671213648265419E+00,0.550908531851940279E+05,0.553760984071351486E+05,0.559448572524112242E+05,0.562297094660568036E+05,0.383055094666645482E+04
0.147467343837899365E-01,0.327147825461862396E+03,0.285938527474204063E+00,0.284697260000000028E+03,0.556600816199999972E+05,0.520044491612764670E+00,0.507833882630097988E+00,0.550909339989389409E+05,0.553761138805581795E+05,0.559450041910501968E+05,0.562297487562343013E+05,0.383055311649854912E+04
0.991775579752593783E+00,0.108487205107184748E+01,0.198418777526913703E+01,0.284697260000000028E+03,0.556600816199999972E+05,0.264997784349275262E-01,0.717460187342141564E+00,0.550907890701288052E+05,0.553760956104626093E+05,0.559450399037646130E+05,0.562297896779060102E+05,0.383055995282328558E+04
