seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_tau2,seg0_tau3,seg0_tau4,seg0_tau5,seg0_likelihood
0.437973787695391942E-01,0.486766881540987015E+05,0.348193468732740541E+00,0.321213900000000024E+03,0.556823565000000017E+05,0.958868246435453209E+00,0.165925530125885595E+00,-0.179957797632696614E+01,0.550399307606889051E+05,0.553611405913147319E+05,0.556823553814249681E+05,0.560035672895909811E+05,0.563247815824221252E+05,0.197185695499294138E+04
0.546483132515423603E-01,0.664792621456832239E+04,0.900554484867216787E+00,0.321213900000000024E+03,0.556823565000000017E+05,0.217336904641593748E+00,0.613104335389884403E+00,-0.132645902935130833E+01,0.550399321064651449E+05,0.553611416853183691E+05,0.556823543276814817E+05,0.560035648619796484E+05,0.563247792759787772E+05,0.197186619315146095E+04
0.485559464413251457E-01,0.732162011816270933E+04,0.894248145063995303E+00,0.321213900000000024E+03,0.556823565000000017E+05,0.143793832218461013E-01,0.445018902570914476E+00,-0.201710402492696161E+01,0.550399289784158100E+05,0.553611445387763088E+05,0.556823558535886186E+05,0.560035650828158905E+05,0.563247752323669920E+05,0.197187895706396944E+04
0.513999623519220822E-01,0.136356587514674738E+05,0.819427295674838629E+00,0.321213900000000024E+03,0.556823565000000017E+05,0.423212677898227696E+00,0.424366707246220110E+00,-0.164459869954474103E+01,0.550399289432081205E+05,0.553611444843132413E+05,0.556823553767881604E+05,0.560035666630313353E+05,0.563247754396926830E+05,0.197193020669055818E+04
0.507575119987792450E-01,0.178360094429693672E+05,0.783109240812308816E+00,0.321213900000000024E+03,0.556823565000000017E+05,0.253266630679721882E+00,0.878575435141333294E+00,-0.155825184325388633E+01,0.550399261285361354E+05,0.553611413948418412E+05,0.556823560828135596E+05,0.560035661274938248E+05,0.563247806745906710E+05,0.197193361229835614E+04
0.459400898571925564E-01,0.413478744374820672E+05,0.525318796250208941E+00,0.321213900000000024E+03,0.556823565000000017E+05,0.474220744991918908E+00,0.321826228058361030E+00,-0.193643362713753509E+01,0.550399271146699757E+05,0.553611458623277795E+05,0.556823563926174684E+05,0.560035679467263981E+05,0.563247784768309211E+05,0.197193522831785572E+04
0.473978077047540747E-01,0.239564590716397506E+05,0.675940547995072194E+00,0.321213900000000024E+03,0.556823565000000017E+05,0.772422627977653820E+00,0.279310244051890255E+00,-0.160363951253056936E+01,0.550399290404298590E+05,0.553611431650496597E+05,0.556823587583425688E+05,0.560035669489893480E+05,0.563247803802765266E+05,0.197194216816515495E+04
0.483548763478337182E-01,0.335113791618891191E+05,0.637761829634863275E+00,0.321213900000000024E+03,0.556823565000000017E+05,0.229183243083570798E+00,0.616272061552756267E+00,-0.167403104589695007E+01,0.550399269625310117E+05,0.553611416270888076E+05,0.556823570063356528E+05,0.560035667557917477E+05,0.563247828040758613E+05,0.197195324639094520E+04
0.448244785108046842E-01,0.690793202725604933E+05,0.126755248908576118E+00,0.321213900000000024E+03,0.556823565000000017E+05,0.368874194482080364E+00,0.309795012938488934E+00,-0.188069530855252021E+01,0.550399284839472311E+05,0.553611436438732635E+05,0.556823550635895226E+05,0.560035649269173664E+05,0.563247831733128478E+05,0.197198735276360981E+04
0.507794464005311419E-01,0.152439576050413816E+05,0.817410715883790884E+00,0.321213900000000024E+03,0.556823565000000017E+05,0.186770581028050608E+00,0.544828486763884845E+00,-0.186295450361754766E+01,0.550399272598463358E+05,0.553611435662488730E+05,0.556823564599541496E+05,0.560035671820942225E+05,0.563247812179403845E+05,0.197199188779622978E+04
0.463448555425635192E-01,0.339193742193994476E+05,0.603154747075598463E+00,0.321213900000000024E+03,0.556823565000000017E+05,0.653862138002315851E+00,0.125026531813551001E+00,-0.191436565453846819E+01,0.550399325695944790E+05,0.553611419822234748E+05,0.556823557800750859E+05,0.560035657680883887E+05,0.563247811206916376E+05,0.197201739624776405E+04
0.464006041835292593E-01,0.358479799650662462E+05,0.566395913394750039E+00,0.321213900000000024E+03,0.556823565000000017E+05,0.784905138913219114E+00,0.204374522843210504E+00,-0.165389541424759368E+01,0.550399278919299541E+05,0.553611415645044617E+05,0.556823529629290715E+05,0.560035687819885570E+05,0.563247802100831541E+05,0.197203072512148424E+04
0.459612746524173527E-01,0.698282710070542380E+05,0.192358843247460221E+00,0.321213900000000024E+03,0.556823565000000017E+05,0.957563232410050258E-01,0.884655926045638807E+00,-0.160877152416269897E+01,0.550399301791500911E+05,0.553611433051420172E+05,0.556823564449422847E+05,0.560035694527584346E+05,0.563247811765394217E+05,0.197206092715595310E+04
0.492127828117528351E-01,0.159967721934616202E+05,0.784923344797345712E+00,0.321213900000000024E+03,0.556823565000000017E+05,0.550349845408257154E+00,0.222913722225775268E+00,-0.181942727354382039E+01,0.550399297008670692E+05,0.553611432501312083E+05,0.556823539575866307E+05,0.560035694847753621E+05,0.563247812962397365E+05,0.197209081959789432E+04
