seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_tau2,seg0_tau3,seg0_tau4,seg0_likelihood
0.774247169494628906E+00,0.579203703725209618E+01,0.184782481193542480E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.482789993286132812E+00,0.178794264793395996E-01,0.551945871091799199E+05,0.554873484937512185E+05,0.557778089804858391E+05,0.560697192501880272E+05,0.563613426002964043E+05,0.969953511335038638E+04
0.131647050380706787E+00,0.194022532107385381E+01,0.180130136013031006E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.358382105827331543E+00,0.415438234806060791E+00,0.551944620414690435E+05,0.554867388444506432E+05,0.557776484840125268E+05,0.560688664110757454E+05,0.563614301123127007E+05,0.969953511335038638E+04
0.276601970195770264E+00,0.226206242242033255E+03,0.185991966724395752E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.922642171382904053E+00,0.258234262466430664E+00,0.551953170584158361E+05,0.554869900053107049E+05,0.557782410273760979E+05,0.560697220802165612E+05,0.563615062704786324E+05,0.969953511335038638E+04
0.200169265270233154E+00,0.140244703279935568E+02,0.139005339145660400E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.306038320064544678E+00,0.317872107028961182E+00,0.551949806981996953E+05,0.554870188483559396E+05,0.557773338796109383E+05,0.560698521760560616E+05,0.563603420159324669E+05,0.969953511335038638E+04
0.536847710609436035E+00,0.449401359875812159E+04,0.177887547016143799E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.134594023227691650E+00,0.934407174587249756E+00,0.551951257382349431E+05,0.554857086314522530E+05,0.557780192436188881E+05,0.560685193354941948E+05,0.563600461457475685E+05,0.969953511335038638E+04
0.731470584869384766E-01,0.273030015602819617E+03,0.174688863754272461E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.572433829307556152E+00,0.873480558395385742E+00,0.551947376354650914E+05,0.554863964255415704E+05,0.557774688390702431E+05,0.560696876600839241E+05,0.563601049937709831E+05,0.969953511335038638E+04
0.200985252857208252E+00,0.328896736804925167E+05,0.144025492668151855E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.794498980045318604E+00,0.417896747589111328E+00,0.551950932037548482E+05,0.554872487630211617E+05,0.557776593100041573E+05,0.560687687606670006E+05,0.563603809751972221E+05,0.969953511335038638E+04
0.412527143955230713E+00,0.185526229448219005E+06,0.176337790489196777E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.476370990276336670E+00,0.851634144783020020E-01,0.551955480591968953E+05,0.554875718571507241E+05,0.557780006529301827E+05,0.560685869463540657E+05,0.563597059672578835E+05,0.969953511335038638E+04
0.358359217643737793E-01,0.432225592021746270E+05,0.134013307094573975E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.799549520015716553E+00,0.664504289627075195E+00,0.551955361998991430E+05,0.554864291900955941E+05,0.557785436663836663E+05,0.560682234990455254E+05,0.563595453742250465E+05,0.969953511335038638E+04
0.403934717178344727E+00,0.636576920877308972E+01,0.175191688537597656E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.121181547641754150E+00,0.352333843708038330E+00,0.551960400429682195E+05,0.554875420778357293E+05,0.557788861937731926E+05,0.560689403754331215E+05,0.563614875514015221E+05,0.969953511335038638E+04
0.800736844539642334E+00,0.320801091994613108E+01,0.195636141300201416E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.407940864562988281E+00,0.735912203788757324E+00,0.551945761711315572E+05,0.554861621747576501E+05,0.557787557295769875E+05,0.560698774635650261E+05,0.563612724619611763E+05,0.969953511335038638E+04
